MICROSOFT CORPORATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Back to Main
,,,,,,,,,
SEGMENT REVENUE AND OPERATING INCOME,,,,,,,,,
(In millions) (Unaudited),,,,,,,,,
,,,,,,,,,
,"Three Months Ended December 31,",,,,"Six Months Ended December 31,",,,,
,,,,,,,,,
,2023,,2022.0,,2023,,2022.0,,
Revenue,,,,,,,,,
Productivity and Business Processes,19249,,17002.0,,37841,,33467.0,,
Intelligent Cloud,25880,,21508.0,,50139,,41833.0,,
More Personal Computing,16891,,14237.0,,30557,,27569.0,,
  Total,62020,,52747.0,,118537,,102869.0,,
Operating Income,,,,,,,,,
Productivity and Business Processes,10284,,8175.0,,20254,,16498.0,,
Intelligent Cloud,12461,,8904.0,,24212,,17882.0,,
More Personal Computing,4287,,3320.0,,9461,,7537.0,,
  Total,27032,,20399.0,,53927,,41917.0,,
