MICROSOFT CORPORATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Back to Main
,,,,,,,,,
SEGMENT REVENUE AND OPERATING INCOME,,,,,,,,,
(In millions)(Unaudited),,,,,,,,,
,,,,,,,,,
,"Three Months Ended December 31,",,,,"Six Months Ended December 31,",,,,
,,,,,,,,,
,2018,,2017.0,,2018,,2017.0,,
Revenue,,,,,,,,,
Productivity and Business Processes,10100,,8953.0,,19871,,17191.0,,
Intelligent Cloud,9378,,7795.0,,17945,,14717.0,,
More Personal Computing,12993,,12170.0,,23739,,21548.0,,
  Total,32471,,28918.0,,61555,,53456.0,,
Operating Income,,,,,,,,,
Productivity and Business Processes,4015,,3337.0,,7896,,6343.0,,
Intelligent Cloud,3279,,2832.0,,6210,,4969.0,,
More Personal Computing,2964,,2510.0,,6107,,5075.0,,
  Total,10258,,8679.0,,20213,,16387.0,,
