Microsoft Corporation,Unnamed: 1,Unnamed: 2,Back to Main,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Segment Revenue and Operating Income,,,,,,,,,,,
(In millions),,,,,,,,,,,
,,,,,,,,,,,
Revenue,Q1-15,Q2-15,Q3-15,Q4-15,Fiscal Year 2015,,Q1-16,Q2-16,Q3-16,Q4-16,Fiscal Year 2016
Productivity and Business Processes,6490,6822,6457,6661,26430,,6306,6690,6522,6969,26487
Intelligent Cloud,5475,6041,5903,6296,23715,,5892,6343,6096,6711,25042
More Personal Computing,11265,13282,9370,9243,43160,,9445,12660,9458,8897,40460
Corporate and Other,-29,325,-1,-20,275,,-1264,-1897,-1545,-1963,-6669
  Total revenue,23201,26470,21729,22180,93580,,20379,23796,20531,20614,85320
,,,,,,,,,,,
,,,,,,,,,,,
Operating Income,Q1-15,Q2-15,Q3-15,Q4-15,Fiscal Year 2015,,Q1-16,Q2-16,Q3-16,Q4-16,Fiscal Year 2016
Productivity and Business Processes,3401,3587,3204,3167,13359,,3162,3305,2994,3000,12461
Intelligent Cloud,2105,2600,2533,2633,9871,,2400,2580,2188,2190,9358
More Personal Computing,1507,1507,1048,605,4667,,1495,2038,1645,964,6142
Corporate and Other,-1169,82,-191,-8458,-9736,,-1264,-1897,-1544,-3074,-7779
  Total operating income,5844,7776,6594,-2053,18161,,5793,6026,5283,3080,20182
