MICROSOFT CORPORATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Back to Main
,,,,,,,,,
SEGMENT REVENUE AND OPERATING INCOME,,,,,,,,,
(In millions)(Unaudited),,,,,,,,,
,,,,,,,,,
,"Three Months Ended December 31,",,,,"Six Months Ended December 31,",,,,
,,,,,,,,,
,2015,,2014.0,,2015,,2014.0,,
Revenue,,,,,,,,,
Productivity and Business Processes,6690,,6822.0,,12990,,13312.0,,
Intelligent Cloud,6343,,6041.0,,12232,,11516.0,,
More Personal Computing,12660,,13282.0,,22114,,24548.0,,
Corporate and Other,-1897,,325.0,,-3161,,295.0,,
  Total revenue,23796,,26470.0,,44175,,49671.0,,
,,,,,,,,,
Operating Income (Loss),,,,,,,,,
Productivity and Business Processes,3305,,3587.0,,6460,,6988.0,,
Intelligent Cloud,2580,,2600.0,,4977,,4705.0,,
More Personal Computing,2038,,1506.0,,3542,,3014.0,,
Corporate and Other,-1897,,83.0,,-3160,,-1087.0,,
  Total operating income,6026,,7776.0,,11819,,13620.0,,
