Microsoft Corporation,Unnamed: 1,Unnamed: 2,Back to Main,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Segment Revenue and Operating Income,,,,,,,,,,,
(In millions),,,,,,,,,,,
,,,,,,,,,,,
Revenue,Q1-22,Q2-22,Q3-22,Q4-22,Fiscal Year 2022,,Q1-23,Q2-23,Q3-23,Q4-23,Fiscal Year 2023
Productivity and Business Processes,15039,15936,15789,16600,63364,,16465,17002,17516,18291,69274
Intelligent Cloud,16912,18262,18987,20804,74965,,20325,21508,22081,23993,87907
More Personal Computing,13366,17530,14584,14461,59941,,13332,14237,13260,13905,54734
  Total,45317,51728,49360,51865,198270,,50122,52747,52857,56189,211915
,,,,,,,,,,,
,,,,,,,,,,,
Operating Income,Q1-22,Q2-22,Q3-22,Q4-22,Fiscal Year 2022,,Q1-23,Q2-23,Q3-23,Q4-23,Fiscal Year 2023
Productivity and Business Processes,7581,7688,7185,7236,29690,,8323,8175,8639,9052,34189
Intelligent Cloud,7681,8323,8391,8808,33203,,8978,8904,9476,10526,37884
More Personal Computing,4976,6236,4788,4490,20490,,4217,3320,4237,4676,16450
  Total,20238,22247,20364,20534,83383,,21518,20399,22352,24254,88523
,,,,,,,,,,,
We have recast certain prior period amounts to conform to the way we internally manage and monitor our business.,,,,,,,,,,,
