Revenue Classified by Significant Product and Service Offerings (Detail) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jun. 30, 2024","Jun. 30, 2023","Jun. 30, 2022"
Revenue from External Customer [Line Items], , , 
Revenue,245122,211915,198270
Server Products and Cloud Services, , , 
Revenue from External Customer [Line Items], , , 
Revenue,97726,79970,67350
Office Products and Cloud Services, , , 
Revenue from External Customer [Line Items], , , 
Revenue,54875,48848,44970
Windows, , , 
Revenue from External Customer [Line Items], , , 
Revenue,23244,21507,24732
Gaming, , , 
Revenue from External Customer [Line Items], , , 
Revenue,21503,15466,16230
LinkedIn, , , 
Revenue from External Customer [Line Items], , , 
Revenue,16372,14989,13631
Search and News Advertising, , , 
Revenue from External Customer [Line Items], , , 
Revenue,12576,12158,11526
Enterprise and Partner Services, , , 
Revenue from External Customer [Line Items], , , 
Revenue,7594,7900,7605
Dynamics Products and Cloud Services, , , 
Revenue from External Customer [Line Items], , , 
Revenue,6481,5437,4687
Devices, , , 
Revenue from External Customer [Line Items], , , 
Revenue,4706,5521,7306
Other, , , 
Revenue from External Customer [Line Items], , , 
Revenue,45,119,233
