Carrying Amount of Goodwill (Detail) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jun. 30, 2024",,"Jun. 30, 2023"
Goodwill [Line Items], ,, 
Beginning Balance,67886,,67524
Acquisitions,51235,,234
Other,99,,128
Ending Balance,119220,,67886
Productivity and Business Processes, ,, 
Goodwill [Line Items], ,, 
Beginning Balance,24775,,24811
Acquisitions,0,,11
Other,2,,-47
Ending Balance,24777,,24775
Intelligent Cloud, ,, 
Goodwill [Line Items], ,, 
Beginning Balance,30469,,30182
Acquisitions,0,,223
Other,-28,,64
Ending Balance,30441,,30469
More Personal Computing, ,, 
Goodwill [Line Items], ,, 
Beginning Balance,12642,,12531
Acquisitions,51235,[1],0
Other,125,[1],111
Ending Balance,64002,,12642
,,,
[1] Includes goodwill of $ 51.0 billion related to Activision Blizzard. See Note 8 – Business Combinations for further information.,,,
