MICROSOFT CORPORATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Back to Main
,,,,,,,,,
COMPREHENSIVE INCOME STATEMENTS,,,,,,,,,
(In millions) (Unaudited),,,,,,,,,
,,,,,,,,,
,"Three Months Ended December 31,",,,,"Six Months Ended December 31,",,,,
,,,,,,,,,
,2020,,2019.0,,2020,,2019.0,,
Net income,15463,,11649.0,,29356,,22327.0,,
"Other comprehensive income (loss), net of tax:",,,,,,,,,
  Net change related to derivatives,8,,-4.0,,12,,-6.0,,
  Net change related to investments,-492,,-420.0,,-693,,157.0,,
  Translation adjustments and other,741,,230.0,,852,,-66.0,,
   Other comprehensive income (loss),257,,-194.0,,171,,85.0,,
Comprehensive income,15720,,11455.0,,29527,,22412.0,,
