MICROSOFT CORPORATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Back to Main
,,,,,,,,,
COMPREHENSIVE INCOME STATEMENTS,,,,,,,,,
(In millions) (Unaudited),,,,,,,,,
,,,,,,,,,
,"Three Months Ended March 31,",,,,"Nine Months Ended March 31,",,,,
,,,,,,,,,
,2023,,2022.0,,2023,,2022.0,,
Net income,18299,,16728.0,,52280,,55998.0,,
"Other comprehensive income (loss), net of tax:",,,,,,,,,
  Net change related to derivatives,-9,,6.0,,-34,,8.0,,
  Net change related to investments,753,,-2882.0,,-796,,-4047.0,,
  Translation adjustments and other,69,,-37.0,,-136,,-259.0,,
   Other comprehensive income (loss),813,,-2913.0,,-966,,-4298.0,,
Comprehensive income,19112,,13815.0,,51314,,51700.0,,
