MICROSOFT CORPORATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Back to Main
,,,,,,,,,
COMPREHENSIVE INCOME STATEMENTS,,,,,,,,,
(In millions) (Unaudited),,,,,,,,,
,,,,,,,,,
,"Three Months Ended March 31,",,,,"Nine Months Ended March 31,",,,,
,,,,,,,,,
,2024,,2023.0,,2024,,2023.0,,
Net income,21939,,18299.0,,66100,,52280.0,,
"Other comprehensive income (loss), net of tax:",,,,,,,,,
  Net change related to derivatives,10,,-9.0,,28,,-34.0,,
  Net change related to investments,-202,,753.0,,869,,-796.0,,
  Translation adjustments and other,-294,,69.0,,11,,-136.0,,
   Other comprehensive income (loss),-486,,813.0,,908,,-966.0,,
Comprehensive income,21453,,19112.0,,67008,,51314.0,,
