MICROSOFT CORPORATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Back to Main
,,,,,,,,,
COMPREHENSIVE INCOME STATEMENTS,,,,,,,,,
(In millions) (Unaudited),,,,,,,,,
,,,,,,,,,
,"Three Months Ended March 31,",,,,"Nine Months Ended March 31,",,,,
,,,,,,,,,
,2025,,2024.0,,2025,,2024.0,,
Net income,25824,,21939.0,,74599,,66100.0,,
"Other comprehensive income (loss), net of tax:",,,,,,,,,
  Net change related to derivatives,-20,,10.0,,4,,28.0,,
  Net change related to investments,450,,-202.0,,1130,,869.0,,
  Translation adjustments and other,353,,-294.0,,-377,,11.0,,
   Other comprehensive income (loss),783,,-486.0,,757,,908.0,,
Comprehensive income,26607,,21453.0,,75356,,67008.0,,
