MICROSOFT CORPORATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Back to Main
,,,,,,,,,
COMPREHENSIVE INCOME STATEMENTS,,,,,,,,,
(In millions)(Unaudited),,,,,,,,,
,,,,,,,,,
,"Three Months Ended March 31,",,,,"Nine Months Ended March 31,",,,,
,,,,,,,,,
,2019,,2018.0,,2019,,2018.0,,
Net income,8809,,7424.0,,26053,,7698.0,,
"Other comprehensive income (loss), net of tax:",,,,,,,,,
  Net change related to derivatives,-33,,7.0,,-93,,-106.0,,
  Net change related to investments,714,,-1016.0,,1334,,-2182.0,,
  Translation adjustments and other,67,,255.0,,-252,,508.0,,
   Other comprehensive income (loss),748,,-754.0,,989,,-1780.0,,
Comprehensive income,9557,,6670.0,,27042,,5918.0,,
