MICROSOFT CORPORATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Back to Main
,,,,,,,,,
COMPREHENSIVE INCOME STATEMENTS,,,,,,,,,
(In millions) (Unaudited),,,,,,,,,
,,,,,,,,,
,"Three Months Ended December 31,",,,,"Six Months Ended December 31,",,,,
,,,,,,,,,
,2021,,2020.0,,2021,,2020.0,,
Net income,18765,,15463.0,,39270,,29356.0,,
"Other comprehensive income (loss), net of tax:",,,,,,,,,
  Net change related to derivatives,0,,8.0,,2,,12.0,,
  Net change related to investments,-743,,-492.0,,-1165,,-693.0,,
  Translation adjustments and other,-103,,741.0,,-222,,852.0,,
   Other comprehensive income (loss),-846,,257.0,,-1385,,171.0,,
Comprehensive income,17919,,15720.0,,37885,,29527.0,,
