MICROSOFT CORPORATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Back to Main
,,,,,,,,,
COMPREHENSIVE INCOME STATEMENTS,,,,,,,,,
(In millions) (Unaudited),,,,,,,,,
,,,,,,,,,
,"Three Months Ended December 31,",,,,"Six Months Ended December 31,",,,,
,,,,,,,,,
,2024,,2023.0,,2024,,2023.0,,
Net income,24108,,21870.0,,48775,,44161.0,,
"Other comprehensive income (loss), net of tax:",,,,,,,,,
  Net change related to derivatives,34,,-3.0,,24,,18.0,,
  Net change related to investments,-434,,1331.0,,680,,1071.0,,
  Translation adjustments and other,-1034,,660.0,,-730,,305.0,,
   Other comprehensive income (loss),-1434,,1988.0,,-26,,1394.0,,
Comprehensive income,22674,,23858.0,,48749,,45555.0,,
