Unnamed: 0,Investor Metrics,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,"(in millions, except for percentages and where otherwise noted)",,Q4'20,FY20,Q1'21,Q2'21,Q3'21,Q4'21,FY21
,,,,,,,,,
,Commercial (Includes commercial portion of LinkedIn),,,,,,,,
,,Commercial bookings growth (y/y)*,12% / 12%,0.17,23% / 18%,19% / 11%,39% / 38%,30% / 25%,0.28
,,Commercial remaining performance obligation (in billions),107,107,107,112,117,141,141
,,Commercial revenue annuity mix,0.94,0.91,0.93,0.93,0.94,0.95,0.94
,,Commercial cloud revenue (in billions),14.3,51.7,15.2,16.7,17.7,19.5,69.1
,,Commercial cloud gross margin percentage,0.66,0.67,0.71,0.71,0.7,0.7,0.71
,,,,,,,,,
,Productivity & Business Processes and Intelligent Cloud,,,,,,,,
,,Office Commercial products and cloud services revenue growth (y/y)*,5% / 7%,0.12,9% / 9%,11% / 9%,14% / 10%,20% / 15%,0.13
,,Office Consumer products and cloud services revenue growth (y/y)*,6% / 7%,0.11,13% / 13%,7% / 6%,5% / 2%,18% / 15%,0.1
,,Office 365 Commercial seat growth (y/y),0.15,0.15,0.15,0.15,0.15,0.17,0.17
,,Microsoft 365 Consumer subscribers,42.7,42.7,45.3,47.5,50.2,51.9,51.9
,,Dynamics products and cloud services revenue growth (y/y)*,13% / 15%,0.14,19% / 18%,21% / 18%,26% / 22%,33% / 26%,0.25
,,LinkedIn revenue growth (y/y)*,10% / 11%,0.2,16% / 16%,23% / 22%,25% / 23%,46% / 42%,0.27
,,Server products and cloud services revenue growth (y/y)*,19% / 21%,0.27,22% / 21%,26% / 24%,26% / 23%,34% / 29%,0.27
,,,,,,,,,
,More Personal Computing,,,,,,,,
,,Windows OEM Pro revenue growth (y/y),-0.04,0.11,-0.22,-0.09,-0.02,-0.02,-0.09
,,Windows OEM non-Pro revenue growth (y/y),0.34,0.05,0.31,0.24,0.44,-0.04,0.21
,,Windows Commercial products and cloud services revenue growth (y/y)*,9% / 11%,0.18,13% / 12%,10% / 8%,10% / 7%,20% / 14%,0.14
,,Surface revenue,1724,6176,1553,2045,1504,1376,6478
,,Xbox content and services revenue growth (y/y)*,65% / 68%,0.11,30% / 30%,40% / 38%,34% / 32%,-4% / -7%,0.23
,,Search advertising revenue (ex TAC) growth (y/y)*,-18% / -17%,0,-10% / -11%,2% / 1%,17% / 14%,53% / 49%,0.13
,,,,,,,,,
,,* Includes non-GAAP constant currency growth (GAAP% / Constant Currency%),,,,,,,
,,Certain amounts have been rounded for presentation purposes,,,,,,,
,,Reconciliation of GAAP and non-GAAP financial measures are available in the Earnings Release Slides (http://aka.ms/slidesfy21q4),,,,,,,
