Unnamed: 0,Investor Metrics,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,"(in millions, except for percentages and where otherwise noted)",,Q1'21,Q2'21,Q3'21,Q4'21,FY21,Q1'22
,,,,,,,,
,Commercial (Includes commercial portion of LinkedIn),,,,,,,
,,Commercial bookings growth (y/y)*,23% / 18%,19% / 11%,39% / 38%,30% / 25%,0.28,11% / 14%
,,Commercial remaining performance obligation (in billions),107,112,117,141,141,137
,,Commercial revenue annuity mix,0.93,0.93,0.94,0.95,0.94,0.95
,,Microsoft Cloud revenue (in billions),15.2,16.7,17.7,19.5,69.1,20.7
,,Microsoft Cloud gross margin percentage,0.71,0.71,0.7,0.7,0.71,0.71
,,,,,,,,
,Productivity & Business Processes and Intelligent Cloud,,,,,,,
,,Office Commercial products and cloud services revenue growth (y/y)*,9% / 9%,11% / 9%,14% / 10%,20% / 15%,0.13,18% / 16%
,,Office Consumer products and cloud services revenue growth (y/y)*,11% / 12%,7% / 6%,5% / 3%,18% / 15%,0.1,10% / 8%
,,Office 365 Commercial seat growth (y/y),0.15,0.15,0.15,0.17,0.17,0.17
,,Microsoft 365 Consumer subscribers,45.3,47.5,50.2,51.9,51.9,54.1
,,Dynamics products and cloud services revenue growth (y/y)*,19% / 18%,21% / 18%,26% / 22%,33% / 26%,0.25,31% / 29%
,,LinkedIn revenue growth (y/y)*,16% / 16%,23% / 22%,25% / 23%,46% / 42%,0.27,42% / 39%
,,Server products and cloud services revenue growth (y/y)*,22% / 21%,26% / 24%,26% / 23%,34% / 29%,0.27,35% / 33%
,,,,,,,,
,More Personal Computing,,,,,,,
,,Windows OEM revenue growth (y/y),-0.05,0.01,0.1,-0.03,0,0.1
,,Windows Commercial products and cloud services revenue growth (y/y)*,13% / 12%,10% / 8%,10% / 7%,20% / 14%,0.14,12% / 10%
,,Surface revenue growth (y/y)*,37% / 36%,3% / 1%,12% / 7%,-20% / -23%,0.05,-17% / -19%
,,Xbox content and services revenue growth (y/y)*,30% / 30%,40% / 38%,34% / 32%,-4% / -7%,0.23,2% / 0%
,,Search and news advertising revenue (ex TAC) growth (y/y)*,-12% / -13%,0% / -1%,13% / 11%,48% / 45%,0.1,40% / 39%
,,,,,,,,
,,* Includes non-GAAP constant currency growth (GAAP% / Constant Currency%),,,,,,
,,Certain amounts have been rounded for presentation purposes,,,,,,
,,Reconciliation of GAAP and non-GAAP financial measures are available in the Earnings Release Slides (http://aka.ms/slidesfy22q1),,,,,,
