Unnamed: 0,Investor Metrics,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,"(in millions, except for percentages and where otherwise noted)",,Q4'19,FY19,Q1'20,Q2'20,Q3'20,Q4'20,FY20
,,,,,,,,,
,Commercial (Includes commercial portion of LinkedIn),,,,,,,,
,,Commercial bookings growth (y/y)*,22% / 25%,0.22,30% / 35%,31% / 30%,7% / 12%,12% / 12%,0.17
,,Commercial remaining performance obligation (in billions),87,87,86,90,89,107,107
,,Commercial revenue annuity mix,0.9,0.9,0.91,0.89,0.92,0.94,0.91
,,Commercial cloud revenue (in billions),11,38.1,11.6,12.5,13.3,14.3,51.7
,,Commercial cloud gross margin percentage,0.65,0.63,0.66,0.67,0.67,0.66,0.67
,,,,,,,,,
,Productivity & Business Processes and Intelligent Cloud,,,,,,,,
,,Office Commercial products and cloud services revenue growth (y/y)*,14% / 16%,0.13,13% / 15%,16% /18%,13% / 15%,5% / 7%,0.12
,,Office Consumer products and cloud services revenue growth (y/y)*,6% / 8%,0.07,5% / 6%,19% / 20%,15% / 17%,6% / 7%,0.11
,,Office 365 Commercial seat growth (y/y),0.23,0.23,0.21,0.21,0.2,0.15,0.15
,,Office 365 Consumer subscribers,34.8,34.8,35.6,37.2,39.6,42.7,42.7
,,Dynamics products and cloud services revenue growth (y/y)*,12% / 15%,0.15,14% / 16%,12% / 15%,17% / 20%,13% / 15%,0.14
,,LinkedIn revenue growth (y/y)*,25% / 28%,0.28,25% / 26%,24% / 26%,21% / 22%,10% / 11%,0.2
,,Server products and cloud services revenue growth (y/y)*,22% / 24%,0.25,30% / 33%,30% / 32%,30% / 32%,19% / 21%,0.27
,,Enterprise Services revenue growth (y/y)*,4% / 6%,0.05,7% / 8%,6% / 7%,6% / 7%,0% / 2%,0.05
,,,,,,,,,
,More Personal Computing,,,,,,,,
,,Windows OEM Pro revenue growth (y/y),0.18,0.1,0.19,0.26,0.05,-0.04,0.11
,,Windows OEM non-Pro revenue growth (y/y),-0.08,-0.07,-0.07,0.04,-0.1,0.34,0.05
,,Windows Commercial products and cloud services revenue growth (y/y)*,13% / 16%,0.14,26% / 29%,25% / 27%,17% / 18%,9% / 11%,0.18
,,Surface revenue,1350,5719,1136,1976,1340,1724,6176
,,Xbox content and services revenue growth (y/y)*,-3% / -1%,0.19,0% / 1%,-11% / -9%,2% / 2%,65% / 68%,0.11
,,Search advertising revenue (ex TAC) growth (y/y)*,9% / 10%,0.13,11% / 13%,6% / 7%,1% / 1%,-18% / -17%,0
,,,,,,,,,
,,* Includes non-GAAP constant currency growth (GAAP% / Constant Currency%),,,,,,,
,,Certain amounts have been rounded for presentation purposes,,,,,,,
,,Reconciliation of GAAP and non-GAAP financial measures are available in the Earnings Release Slides (http://aka.ms/slidesfy20q4),,,,,,,
