Unnamed: 0,Investor Metrics,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,"(in billions, except for percentages and where otherwise noted)",,Q1'16,Q2'16,Q3'16,Q4'16,FY16,Q1'17
,,,,,,,,
,Commercial,,,,,,,
,,Commercial bookings growth (y/y)*,2% / 10%,12% / 19%,7% / 9%,3% / 4%,0.06,18% /18%
,,Commercial unearned revenue (in millions),20999,19557,18756,24621,24621,22253
,,Contracted not billed,>$23.5,>$25.5,>$25.0,>$25.5,>$25.5,>$25.5
,,Commercial revenue mix,,,,,,
,,    Annuity,0.86,0.83,0.86,0.83,0.84,0.88
,,    Non-Annuity,0.14,0.17,0.14,0.17,0.16,0.12
,,Commercial cloud annualized revenue run rate,>$8.2,>$9.4,>$10.0,>$12.1,>$12.1,>$13.0
,,Commercial cloud gross margin percentage,**,**,**,**,**,0.49
,,,,,,,,
,Productivity & Business Processes and Intelligent Cloud,,,,,,,
,,Office Commercial products and cloud services revenue growth (y/y)*,-2% / 5%,-1% / 5%,0% / 7%,5% / 9%,0.01,5% / 8%
,,Office Consumer products and cloud services revenue growth (y/y)*,-13% / -4%,-14% / -8%,3% / 6%,19% / 18%,-0.02,8% / 8%
,,Office 365 Commercial seat growth (y/y),0.66,0.59,0.57,0.45,0.45,0.4
,,Office 365 Consumer subscribers (in millions),18.2,20.6,22.2,23.1,23.1,24
,,Dynamics products and cloud services revenue growth (y/y)*,3% / 12%,3% / 11%,4% / 9%,6% / 7%,0.04,11% / 13%
,,Server products and cloud services revenue growth (y/y)*,6% / 13%,3% / 10%,0% / 5%,5% / 8%,0.04,11% / 13%
,,Enterprise services revenue growth (y/y)*,9% / 16%,10% / 16%,11% / 15%,12% / 14%,0.11,1% / 2%
,,,,,,,,
,More Personal Computing,,,,,,,
,,Windows OEM Pro revenue growth (y/y),-0.07,-0.06,-0.11,0.02,-0.06,0.01
,,Windows OEM non-Pro revenue growth (y/y),-0.04,-0.03,0.15,0.27,0.07,-0.01
,,Windows Commercial products and cloud services revenue growth (y/y)*,**,**,**,**,**,0% / 2%
,,Surface revenue (in millions),672,1352,1111,965,4100,926
,,Xbox Live monthly active users (in millions),39,48,46,49,49,47
,,Gaming revenue (in millions),**,**,**,**,**,1896
,,Search advertising revenue (ex TAC) growth (y/y)*,23% / 29%,17% / 21%,14% /18%,16% /17%,0.17,9% / 10%
,,,,,,,,
,,* Includes non-GAAP constant currency growth (GAAP% / Constant Currency%),,,,,,
,,** Not disclosed,,,,,,
,,Certain amounts have been rounded for presentation purposes,,,,,,
,,Reconciliation of GAAP and non-GAAP financial measures are available in the Earnings Release Slides (http://aka.ms/slidesfy17q1),,,,,,
