Unnamed: 0,Investor Metrics,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,"(in millions, except for percentages and where otherwise noted)",,Q1'19,Q2'19,Q3'19,Q4'19,FY19,Q1'20
,,,,,,,,
,Commercial (Includes commercial portion of LinkedIn),,,,,,,
,,Commercial bookings growth (y/y)*,15% / 16%,18% / 22%,30% / 34%,22% / 25%,0.22,30% / 35%
,,Commercial remaining performance obligation (in billions),68,69,72,87,87,86
,,Commercial revenue annuity mix,0.9,0.89,0.9,0.9,0.9,0.91
,,Commercial cloud revenue (in billions),8.5,9,9.6,11,38.1,11.6
,,Commercial cloud gross margin percentage,0.62,0.62,0.63,0.65,0.63,0.66
,,,,,,,,
,Productivity & Business Processes and Intelligent Cloud,,,,,,,
,,Office Commercial products and cloud services revenue growth (y/y)*,17% / 16%,11% / 11%,12% / 14%,14% / 16%,0.13,13% / 15%
,,Office Consumer products and cloud services revenue growth (y/y)*,16% / 17%,1% / 2%,8% / 10%,6% / 8%,0.07,5% / 6%
,,Office 365 Commercial seat growth (y/y),0.29,0.27,0.27,0.23,0.23,0.21
,,Office 365 Consumer subscribers,32.5,33.3,34.2,34.8,34.8,35.6
,,Dynamics products and cloud services revenue growth (y/y)*,20% / 20%,17% / 17%,13% / 15%,12% / 15%,0.15,14% / 16%
,,LinkedIn revenue growth (y/y)*,33% / 33%,29% / 30%,27% / 29%,25% / 28%,0.28,25% / 26%
,,Server products and cloud services revenue growth (y/y)*,28% / 28%,24% / 24%,27% / 29%,22% / 24%,0.25,30% / 33%
,,Enterprise Services revenue growth (y/y)*,6% / 6%,6% / 7%,4% / 5%,4% / 6%,0.05,7% / 8%
,,,,,,,,
,More Personal Computing,,,,,,,
,,Windows OEM Pro revenue growth (y/y),0.08,-0.02,0.15,0.18,0.1,0.19
,,Windows OEM non-Pro revenue growth (y/y),-0.05,-0.11,-0.01,-0.08,-0.07,-0.07
,,Windows Commercial products and cloud services revenue growth (y/y)*,12% /12%,13% / 14%,18% / 20%,13% / 16%,0.14,26% / 29%
,,Surface revenue,1180,1860,1329,1350,5719,1136
,,Xbox content and services revenue growth (y/y)*,36% / 36%,31% / 32%,12% / 15%,-3% / -1%,0.19,0% / 1%
,,Search advertising revenue (ex TAC) growth (y/y)*,17% / 17%,14% / 14%,12% / 14%,9% / 10%,0.13,11% / 13%
,,,,,,,,
,,* Includes non-GAAP constant currency growth (GAAP% / Constant Currency%),,,,,,
,,Certain amounts have been rounded for presentation purposes,,,,,,
,,Reconciliation of GAAP and non-GAAP financial measures are available in the Earnings Release Slides (http://aka.ms/slidesfy20q1),,,,,,
