Unnamed: 0,Investor Metrics,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,"(in millions, except for percentages and where otherwise noted)",,Q4'22,FY22,Q1'23,Q2'23,Q3'23,Q4'23,FY23
,,,,,,,,,
,Commercial (Includes commercial portion of LinkedIn),,,,,,,,
,,Commercial bookings growth (y/y)*,25% / 35%,0.25,-3% / 16%,7% / 4%,11% / 12%,-2% / -1%,0.03
,,Commercial remaining performance obligation (in billions),189,189,180,189,196,224,224
,,Commercial revenue annuity mix,0.96,0.95,0.96,0.96,0.96,0.97,0.96
,,Microsoft Cloud revenue (in billions),25.1,91.4,25.7,27.1,28.5,30.3,111.6
,,Microsoft Cloud gross margin percentage,0.69,0.7,0.73,0.72,0.72,0.72,0.72
,,,,,,,,,
,Productivity & Business Processes and Intelligent Cloud,,,,,,,,
,,Office Commercial products and cloud services revenue growth (y/y)*,9% / 13%,0.13,7% / 13%,7% / 14%,13% / 17%,12% / 14%,0.1
,,Office Consumer products and cloud services revenue growth (y/y)*,9% / 12%,0.11,7% / 11%,-2% / 3%,1% / 4%,3% / 6%,0.02
,,Office 365 Commercial seat growth (y/y),0.14,0.14,0.14,0.12,0.11,0.11,0.11
,,Microsoft 365 Consumer subscribers,59.7,59.7,61.3,63.2,65.4,67,67
,,Dynamics products and cloud services revenue growth (y/y)*,19% / 24%,0.25,15% / 22%,13% / 20%,17% / 21%,19% / 21%,0.16
,,LinkedIn revenue growth (y/y)*,26% / 29%,0.34,17% / 21%,10% / 14%,8% / 10%,5% / 7%,0.1
,,Server products and cloud services revenue growth (y/y)*,22% / 26%,0.28,22% / 28%,20% / 26%,17% / 21%,17% / 18%,0.19
,,,,,,,,,
,More Personal Computing,,,,,,,,
,,Windows OEM revenue growth (y/y),-0.02,0.11,-0.15,-0.39,-0.28,-0.12,-0.25
,,Windows Commercial products and cloud services revenue growth (y/y)*,6% / 12%,0.11,8% / 15%,-3% / 3%,14% / 18%,2% / 3%,0.05
,,Devices revenue growth (y/y)*,12% / 18%,0.02,2% / 8%,-39% / -34%,-30% / -26%,-20% / -18%,-0.24
,,Xbox content and services revenue growth (y/y)*,-6% / -4%,0.03,-3% / 1%,-12% / -8%,3% / 5%,5% / 6%,-0.03
,,Search and news advertising revenue (ex TAC) growth (y/y)*,18% / 21%,0.27,16% / 21%,10% / 15%,10% / 13%,8% / 8%,0.11
,,,,,,,,,
,,* Includes non-GAAP constant currency growth (GAAP% / Constant Currency%),,,,,,,
,,Certain amounts have been rounded for presentation purposes,,,,,,,
,,Reconciliation of GAAP and non-GAAP financial measures are available in the Earnings Release Slides (http://aka.ms/slidesfy23q4),,,,,,,
