Unnamed: 0,Investor Metrics,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,"(in millions, except for percentages and where otherwise noted)",,Q1'18,Q2'18,Q3'18,Q4'18,FY18,Q1'19
,,,,,,,,
,Commercial (Includes commercial portion of LinkedIn),,,,,,,
,,Commercial bookings growth (y/y)*,**,**,26% / 17%,18% / 19%,**,15% / 16%
,,Commercial unearned revenue,22286,21172,21127,30113,30113,27298
,,Commercial revenue annuity mix,0.89,0.86,0.89,0.9,0.89,0.9
,,Commercial cloud revenue (in billions),5.8,6.1,6.8,7.9,26.6,8.5
,,Commercial cloud gross margin percentage,0.58,0.57,0.58,0.59,0.58,0.62
,,,,,,,,
,Productivity & Business Processes and Intelligent Cloud,,,,,,,
,,Office Commercial products and cloud services revenue growth (y/y)*,10% / 10%,10% / 10%,14% / 12%,10% / 8%,0.11,17% / 16%
,,Office Consumer products and cloud services revenue growth (y/y)*,12% / 10%,12% / 11%,12% / 9%,8% / 6%,0.11,16% / 17%
,,Office 365 Commercial seat growth (y/y),0.32,0.3,0.28,0.29,0.29,0.29
,,Office 365 Consumer subscribers,28,29.2,30.6,31.4,31.4,32.5
,,Dynamics products and cloud services revenue growth (y/y)*,13% / 12%,10% / 9%,17% / 14%,11% / 8%,0.13,20% / 20%
,,LinkedIn revenue growth (y/y)*,**,**,37% / 33%,37% / 34%,**,33% / 33%
,,Server products and cloud services revenue growth (y/y)*,17% / 17%,18% / 18%,20% / 17%,26%/ 24%,0.21,28% / 28%
,,Enterprise services revenue growth (y/y)*,1% / 0%,5% / 3%,8% / 5%,8% / 7%,0.05,6% / 6%
,,,,,,,,
,More Personal Computing,,,,,,,
,,Windows OEM Pro revenue growth (y/y),0.07,0.11,0.11,0.14,0.11,0.08
,,Windows OEM non-Pro revenue growth (y/y),-0.01,-0.05,-0.08,-0.03,-0.04,-0.05
,,Windows Commercial products and cloud services revenue growth (y/y)*,7% / 6%,-4% / -5%,21% / 17%,23% / 19%,0.12,12% /12%
,,Surface revenue,1037,1335,1094,1185,4651,1180
,,Xbox Live monthly active users,53,59,59,57,57,57
,,Gaming revenue,1896,3920,2251,2286,10353,2738
,,Search advertising revenue (ex TAC) growth (y/y)*,15% / 15%,15% / 15%,16% / 14%,17% / 16%,0.16,17% / 17%
,,,,,,,,
,,* Includes non-GAAP constant currency growth (GAAP% / Constant Currency%),,,,,,
,,** Unavailable due to timing of deal close,,,,,,
,,Certain amounts have been rounded for presentation purposes,,,,,,
,,Reconciliation of GAAP and non-GAAP financial measures are available in the Earnings Release Slides (http://aka.ms/slidesfy19q1),,,,,,
