Unnamed: 0,Investor Metrics,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,"(in billions, except for percentages and where otherwise noted)",,Q4'17,FY17,Q1'18,Q2'18,Q3'18,Q4'18,FY18
,,,,,,,,,
,Commercial (excludes LinkedIn),,,,,,,,
,,Commercial bookings growth (y/y)*,30% / 30%,0.18,14% / 9%,7% / 4%,26% / 18%,18% / 18%,0.15
,,Commercial unearned revenue (in millions),23493,23493,21490,20225,20038,28996,28996
,,Commercial revenue annuity mix,0.86,0.86,0.89,0.86,0.89,0.89,0.88
,,Commercial cloud revenue,4.5,14.9,5,5.3,6,6.9,23.2
,,Commercial cloud gross margin percentage,0.52,0.5,0.57,0.55,0.57,0.58,0.57
,,,,,,,,,
,Productivity & Business Processes and Intelligent Cloud,,,,,,,,
,,Office Commercial products and cloud services revenue growth (y/y)*,5% / 6%,0.07,10% / 10%,10% / 10%,14% / 12%,10% / 8%,0.11
,,Office Consumer products and cloud services revenue growth (y/y)*,11% / 11%,0.11,12% / 10%,12% / 11%,12% / 9%,8% / 6%,0.11
,,Office 365 Commercial seat growth (y/y),0.31,0.31,0.32,0.3,0.28,0.29,0.29
,,Office 365 Consumer subscribers (in millions),27,27,28,29.2,30.6,31.4,31.4
,,Dynamics products and cloud services revenue growth (y/y)*,2% / 4%,0.05,13% / 12%,10% / 9%,17% / 14%,11% / 8%,0.13
,,Server products and cloud services revenue growth (y/y)*,12% / 13%,0.14,17% / 17%,18% / 18%,20% / 17%,26%/ 24%,0.21
,,Enterprise services revenue growth (y/y)*,-3% / -1%,-0.02,1% / 0%,5% / 3%,8% / 5%,8% / 7%,0.05
,,,,,,,,,
,More Personal Computing,,,,,,,,
,,Windows OEM Pro revenue growth (y/y),0.04,0.04,0.07,0.11,0.11,0.14,0.11
,,Windows OEM non-Pro revenue growth (y/y),0.02,0.03,-0.01,-0.05,-0.08,-0.03,-0.04
,,Windows Commercial products and cloud services revenue growth (y/y)*,16% / 16%,0.14,7% / 6%,-4% / -5%,21% / 17%,23% / 19%,0.12
,,Surface revenue (in millions),948,4026,1037,1335,1094,1185,4651
,,Xbox Live monthly active users (in millions),53,53,53,59,59,57,57
,,Gaming revenue (in millions),1643,9051,1896,3920,2251,2286,10353
,,Search advertising revenue (ex TAC) growth (y/y)*,10% / 11%,0.09,15% / 15%,15% / 15%,16% / 14%,17% / 16%,0.16
,,,,,,,,,
,,* Includes non-GAAP constant currency growth (GAAP% / Constant Currency%),,,,,,,
,,Certain amounts have been rounded for presentation purposes,,,,,,,
,,Reconciliation of GAAP and non-GAAP financial measures are available in the Earnings Release Slides (http://aka.ms/slidesfy18q4),,,,,,,
