Unnamed: 0,Investor Metrics,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,"(in millions, except for percentages and where otherwise noted)",,Q4'24,FY24,Q1'25,Q2'25,Q3'25,Q4'25,FY25
,,,,,,,,,
,Commercial (Includes commercial portion of LinkedIn),,,,,,,,
,,Commercial bookings growth (y/y)*,17% / 19%,0.2,30% / 23%,67% / 75%,18% / 17%,37% / 30%,0.38
,,Commercial remaining performance obligation (in billions),269,269,259,298,315,368,368
,,Commercial revenue annuity mix,0.97,0.97,0.98,0.97,0.98,0.98,0.98
,,Microsoft Cloud revenue (in billions),36.9,137.7,38.9,40.9,42.4,46.7,168.9
,,Microsoft Cloud revenue growth (y/y)*,22% / 23%,0.23,22% / 22%,21% / 21%,20% / 22%,27% / 25%,23% / 23%
,,Microsoft Cloud gross margin percentage,0.7,0.72,0.71,0.7,0.69,0.68,0.69
,,,,,,,,,
,Productivity & Business Processes and Intelligent Cloud,,,,,,,,
,,Microsoft 365 Commercial cloud revenue growth (y/y)*,15% / 16%,0.18,15% / 16%,16% / 15%,12% / 15%,18% / 16%,15% / 15%
,,Microsoft 365 Commercial seat growth (y/y),0.07,0.07,0.08,0.07,0.07,0.06,0.06
,,Microsoft 365 Consumer cloud revenue growth (y/y)*,7% / 7%,0.08,6% / 7%,8% / 8%,10% / 12%,20% / 20%,11% / 12%
,,Microsoft 365 Consumer subscribers,82.4,82.4,84.4,86.3,87.7,89,89
,,LinkedIn revenue growth (y/y)*,10% / 9%,0.09,10% / 9 %,9% / 9%,7% / 8%,9% / 8%,9% / 9%
,,Dynamics 365 revenue growth (y/y)*,19% / 20%,0.23,18% / 19%,19% / 18%,16% / 18%,23% / 21%,19% / 19%
,,Azure and other cloud services revenue growth (y/y)*,34% / 35%,0.33,33% / 34%,31% / 31%,33% / 35%,39% / 39%,34% / 35%
,,,,,,,,,
,More Personal Computing,,,,,,,,
,,Windows OEM and Devices revenue growth (y/y)*,-1% / 0%,0,2% / 2%,4% / 4%,3% / 3%,3% / 3%,3% / 3%
,,Xbox content and services revenue growth (y/y)*,61% / 61%,0.5,61% / 61%,2% / 2%,8% / 9%,13% / 12%,16% / 16%
,,Search and news advertising revenue (ex TAC) growth (y/y)*,15% / 16%,0.09,18% / 19%,21% / 20%,21% / 23%,21% / 20%,20% / 21%
,,,,,,,,,
,,* Includes non-GAAP constant currency growth (GAAP% / Constant Currency%),,,,,,,
,,Certain amounts have been rounded for presentation purposes,,,,,,,
,,Reconciliation of GAAP and non-GAAP financial measures are available in the Earnings Release Slides (http://aka.ms/slidesfy25q4),,,,,,,
